%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
ENTAILMENT	 (  ( A hole  )  ( is  ( being  ( burrowed  ( by  ( the badger  )  )  )  )  )  ) 	 (  ( A badger  )  ( is  (  ( shrewdly digging  )  ( the earth  )  )  )  ) 	4.5	1584
CONTRADICTION	 ( There  ( is  ( no  ( boy  (  (  ( playing outdoors  ) and  )  ( there  ( is  (  ( no man  ) smiling  )  )  )  )  )  )  )  ) 	 (  ( The  ( young boys  )  )  ( are  ( playing  (  (  ( outdoors and  )  ( the man  )  )  ( is  ( smiling nearby  )  )  )  )  )  ) 	3.6	4
CONTRADICTION	 ( Nobody is_playing_the_guitar  ) 	 (  ( A man  ) is_playing_the_guitar  ) 	3.7	3258
NEUTRAL	 (  ( A kid  )  ( is  ( playing guitar  )  )  ) 	 (  ( A woman  )  ( is  ( playing  ( an  ( electric guitar  )  )  )  )  ) 	3	9931
NEUTRAL	 (  ( The  ( tall person  )  )  ( is  (  ( setting fire  )  ( to  ( the cameras  )  )  )  )  ) 	 (  ( A person  )  ( is  (  ( burning  ( some cameras  )  )  ( with  ( a  ( blow torch  )  )  )  )  )  ) 	3.8	2362
ENTAILMENT	 (  ( One man  ) is_riding_a_horse  ) 	 (  ( A man  ) is_riding_a_horse  ) 	4.7	4079
NEUTRAL	 ( A_man_and_a_woman  ( are  ( driving_down  (  ( the street  )  ( in  ( a jeep  )  )  )  )  )  ) 	 ( A_man_and_a_woman  ( are  ( driving_down  (  ( the road  )  ( in  ( an  ( open-air vehicle  )  )  )  )  )  )  ) 	4	5904
ENTAILMENT	 (  (  (  ( A man  ) and  )  (  ( two women  )  ( in  ( a  ( dark room  )  )  )  )  )  ( are  ( sitting  ( at  (  ( a table  )  ( with candles  )  )  )  )  )  ) 	 (  (  ( The group  )  ( of people  )  )  ( is  ( sitting  ( in  ( a  ( dim room  )  )  )  )  )  ) 	3.6	7471
NEUTRAL	 (  ( A  ( little boy  )  )  (  (  ( is  ( wearing  ( a  ( yellow  ( tank top  )  )  )  )  ) and  )  ( is laughing  )  )  ) 	 (  ( A  ( laughing boy  )  )  (  (  ( is  ( in  ( a  ( yellow tank  )  )  )  ) and  )  ( is  ( wearing  ( a top  )  )  )  )  ) 	3.5	6450
NEUTRAL	 (  ( A woman  )  ( is  ( slicing potatoes  )  )  ) 	 (  ( A horse  )  ( is  ( being  ( ridden  ( by  ( a person  )  )  )  )  )  ) 	1	5920
NEUTRAL	 ( A_man  ( is  (  (  (  ( skiing down  )  ( a hill  )  ) and  )  ( jumping  ( a  ( red obstacle  )  )  )  )  )  ) 	 ( A_man  ( is  (  ( snowboarding down  )  (  ( a railing  )  ( in  ( the snow  )  )  )  )  )  ) 	3.1	9287
NEUTRAL	 ( A_woman  ( is  ( dancing_and_singing  ( with  ( other women  )  )  )  )  ) 	 ( A_woman  ( is  ( dancing_and_singing  ( in  ( the rain  )  )  )  )  ) 	4.1	1241
NEUTRAL	 (  (  ( A  ( grey  ( silky dog  )  )  )  ( is  ( lying  ( in  (  (  ( the grass  ) and  )  ( a brown_dog  )  )  )  )  )  )  ( is  ( looking on  )  )  ) 	 (  ( The brown_dog  )  ( is  ( spotting  (  ( a  ( black dog  )  )  ( lying  ( in  ( the  ( dry grass  )  )  )  )  )  )  )  ) 	3.2	8558
ENTAILMENT	 ( A_man  ( is  ( singing_and_playing  ( a guitar  )  )  )  ) 	 ( A_man  ( is  ( singing_and_playing  ( a  ( musical instrument  )  )  )  )  ) 	4.5	4916
CONTRADICTION	 ( There  ( is  (  ( no woman  )  (  (  ( using  ( an  ( eye pencil  )  )  ) and  )  (  ( applying  ( eye liner  )  ) to_her_eyelid  )  )  )  )  ) 	 (  ( A woman  )  ( is  (  ( applying cosmetics  ) to_her_eyelid  )  )  ) 	3.1	3123
NEUTRAL	 (  ( A  ( laughing child  )  )  ( is  (  (  ( holding  ( a  ( water gun  )  )  ) and  )  ( getting  ( sprayed  ( with water  )  )  )  )  )  ) 	 (  (  ( A person  )  ( in  ( a  ( blue jacket  )  )  )  )  ( is  ( jumping  ( onto  ( a  ( tall  ( cement wall  )  )  )  )  )  )  ) 	1.1	9759
NEUTRAL	 (  ( The person  )  ( is  (  ( setting fire  )  ( to  ( the cameras  )  )  )  )  ) 	 (  (  ( A person  )  ( by  ( some cameras  )  )  )  ( is  ( blowing  ( on  ( a  ( burning torch  )  )  )  )  )  ) 	3.3	2366
NEUTRAL	 (  (  (  (  ( A biker  )  ( with  (  (  (  (  ( a  ( blue jacket  )  ) ,  )  ( black pants  )  ) and  )  ( a  ( white helmet  )  )  )  )  )  ( is  ( driving  ( on dirt  )  )  )  ) and  )  ( people  ( are watching  )  )  ) 	 (  (  ( The rider  )  ( on  ( the  ( blue  ( and  ( black  ( motocross bike  )  )  )  )  )  )  )  (  ( is not  )  ( wearing  ( the pants  )  )  )  ) 	3.2	7044
NEUTRAL	 (  (  ( A group  )  ( of  ( football players  )  )  )  ( is  (  ( standing still  )  ( in  ( the field  )  )  )  )  ) 	 (  ( The crowd  )  ( is  ( watching  ( a  ( football game  )  )  )  )  ) 	2.6	7088
CONTRADICTION	 (  ( A man  )  ( is drawing  )  ) 	 ( There  ( is  ( no  ( man drawing  )  )  )  ) 	3.8	4321
NEUTRAL	 (  ( A_few_men  ( in  ( a competition  )  )  )  ( are  ( running outside  )  )  ) 	 ( A_few_men  ( are  (  ( running competitions  ) outside  )  )  ) 	3.9	718
NEUTRAL	 (  ( A_boy  ( in  ( a  ( white t-shirt  )  )  )  )  ( is  ( splashing  ( in  ( shallow water  )  )  )  )  ) 	 ( A_boy  ( is  ( running  ( through  (  ( the water  )  ( at  ( the beach  )  )  )  )  )  )  ) 	3.5	7951
CONTRADICTION	 ( The_man  (  ( is not  ) stirring_the_sauce_for_the_chicken  )  ) 	 ( The_man  ( is stirring_the_sauce_for_the_chicken  )  ) 	4	1487
ENTAILMENT	 (  ( A person  )  ( is  ( playing  ( a guitar_and_singing  )  )  )  ) 	 (  ( One person  )  ( is  ( playing  ( the guitar_and_singing  )  )  )  ) 	4.9	1964
NEUTRAL	 ( A_woman  ( is  ( planting  ( some flowers  )  )  )  ) 	 ( A_woman  ( is  ( cutting broccoli  )  )  ) 	1.2	1525
NEUTRAL	 (  ( A keyboard  )  ( is  ( being  ( played  ( by  ( a man  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( playing  ( a harp  )  )  )  ) 	2.4	4638
ENTAILMENT	 ( Someone  ( is  ( cooking  ( okra in_a_pan  )  )  )  ) 	 ( Okra  ( is  ( being  ( cooked in_a_pan  )  )  )  ) 	4.9	3536
NEUTRAL	 ( A_dog  ( is  ( playing  ( with  ( a toy  )  )  )  )  ) 	 ( A_dog  ( is  ( eating  ( a doll  )  )  )  ) 	3.6	4191
NEUTRAL	 ( A_guy  ( is  ( leaping  ( into  ( the_air  ( in wood  )  )  )  )  )  ) 	 ( A_guy  ( is  ( leaping  ( into  ( the_air  ( in  ( a  ( wooded area  )  )  )  )  )  )  )  ) 	4.3	9211
NEUTRAL	 ( A_dog  ( is  ( jumping  ( in  (  ( the shade  )  ( of  ( some trees  )  )  )  )  )  )  ) 	 ( A_dog  ( is  ( jumping  ( into  (  ( the air  )  ( in  ( the country  )  )  )  )  )  )  ) 	3.7	9452
ENTAILMENT	 ( A_child  ( is  ( running_in_and_out  ( of  ( the  ( ocean waves  )  )  )  )  )  ) 	 ( A_child  ( is  ( running_in_and_out  ( of  (  ( the waves  )  ( of  ( the ocean  )  )  )  )  )  )  ) 	4.9	3275
ENTAILMENT	 ( A_woman  (  (  ( is  ( using  (  ( a pencil  )  ( for eyes  )  )  )  ) and  )  ( is  (  ( applying  ( eye liner  )  ) to_her_eyelid  )  )  )  ) 	 ( A_woman  ( is  (  ( applying cosmetics  ) to_her_eyelid  )  )  ) 	4.6	3122
NEUTRAL	 (  (  (  (  ( A biker  )  ( with  (  (  (  (  ( a  ( blue jacket  )  ) ,  )  ( black pants  )  ) and  )  ( a  ( white helmet  )  )  )  )  )  ( is  ( driving  ( on dirt  )  )  )  ) and  )  ( people  ( are watching  )  )  ) 	 (  ( The  ( motocross rider  )  )  ( is  ( standing naked  )  )  ) 	2.6	7043
NEUTRAL	 (  ( The person  )  (  ( is not  )  ( standing  ( on  ( white ice  )  )  )  )  ) 	 (  ( A person  )  ( is  ( standing  ( in  (  ( a  ( vast field  )  )  ( of  ( glacial ice  )  )  )  )  )  )  ) 	3.1	6482
NEUTRAL	 (  ( A baby  )  ( is  ( playing  ( with  ( a toy  )  )  )  )  ) 	 (  ( A  ( baby tiger  )  )  ( is  ( playing  ( with  ( a ball  )  )  )  )  ) 	3.2	5747
NEUTRAL	 (  ( Some cheerleaders  )  ( are relaxing  )  ) 	 (  ( A  ( female cheerleader  )  )  ( is  ( sitting  ( on  (  ( the knee  )  ( of  ( a  ( male cheerleader  )  )  )  )  )  )  )  ) 	3	8122
NEUTRAL	 (  ( The  ( blond girl  )  )  ( is  ( dancing  ( in  ( front  ( of  ( the  ( sound equipment  )  )  )  )  )  )  )  ) 	 (  (  ( A girl  )  ( in white  )  )  ( is dancing  )  ) 	3.3	228
ENTAILMENT	 ( Two_people  ( are  ( driving  (  ( a_jeep_and  ( a girl  )  ) is_sitting_on_the_top_of_it  )  )  )  ) 	 ( Two_people  ( are  ( driving  (  ( a_jeep_and  ( a lady  )  ) is_sitting_on_the_top_of_it  )  )  )  ) 	4.8	8163
NEUTRAL	 (  ( A woman  )  ( is  ( playing  ( a guitar  )  )  )  ) 	 (  ( A  ( talented man  )  )  ( is  ( playing  ( the guitar  )  )  )  ) 	3.2	3747
CONTRADICTION	 ( The_man  (  ( is not  )  ( slicing  ( the potato  )  )  )  ) 	 ( The_man  ( is  ( slicing  ( a potato  )  )  )  ) 	2.7	2392
CONTRADICTION	 ( Boys  ( are dancing_in_front_of_some_people  )  ) 	 ( Boys  (  ( are not  ) dancing_in_front_of_some_people  )  ) 	3.8	3922
CONTRADICTION	 ( The_woman_in_a_red_costume  ( is  (  ( leaning_against_a_brick_wall and  ) playing_an_instrument  )  )  ) 	 ( The_woman_in_a_red_costume  (  (  (  ( is not  ) leaning_against_a_brick_wall  ) and  )  (  ( is not  ) playing_an_instrument  )  )  ) 	3.2	6358
NEUTRAL	 (  ( A tower  )  ( is  ( being  ( looked  ( at  ( by  ( a  ( blonde lady  )  )  )  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( looking  ( at  (  ( the view  )  ( of  ( a city  )  )  )  )  )  )  ) 	3.3	7363
CONTRADICTION	 (  ( A boy  )  ( is playing_guitar  )  ) 	 ( There  ( is  (  ( no boy  ) playing_guitar  )  )  ) 	3.8	4776
NEUTRAL	 ( A_dog  ( is  (  ( playing alone  )  ( on  (  ( a beach  )  ( covered  ( by snow  )  )  )  )  )  )  ) 	 ( A_dog  ( is  ( walking  ( along  ( a snowdrift  )  )  )  )  ) 	3.2	7743
NEUTRAL	 ( Two_dogs  ( are  (  ( playing together  )  ( on the_grass  )  )  )  ) 	 ( Two_dogs  ( are  (  ( resting together  )  ( in the_grass  )  )  )  ) 	3.3	6231
ENTAILMENT	 (  ( Two  ( teenage girls  )  ) are_wearing_fancy_dresses_at_an_event  ) 	 (  (  ( Two girls  )  ( in  ( their teens  )  )  ) are_wearing_fancy_dresses_at_an_event  ) 	4.8	6649
CONTRADICTION	 (  ( A brown_dog  )  ( is running_across_the_yard_with_a_toy_in_its_mouth  )  ) 	 ( There  ( is  (  ( no brown_dog  ) running_across_the_yard_with_a_toy_in_its_mouth  )  )  ) 	3.8	7214
NEUTRAL	 ( A_brown_and_white_dog  ( is  ( running  ( through  ( the  ( tall grass  )  )  )  )  )  ) 	 ( A_brown_and_white_dog  ( is  ( moving  ( through  ( the  ( wild grass  )  )  )  )  )  ) 	4.4	382
ENTAILMENT	 ( A_man  ( is  ( emptying  ( a_container made_of_plastic  )  )  )  ) 	 ( A_man  ( is  ( emptying  ( a_container  ( made_of_plastic completely  )  )  )  )  ) 	4.7	1703
ENTAILMENT	 (  ( The doctors  )  ( are  ( healing  ( a man  )  )  )  ) 	 (  ( The doctor  )  ( is  ( helping  ( the patient  )  )  )  ) 	4.2	4505
NEUTRAL	 ( A_man  ( is  (  ( walking down  )  ( a road  )  )  )  ) 	 (  ( A_man  ( from  ( the wilderness  )  )  )  ( is  ( on  ( a  ( walking path  )  )  )  )  ) 	3.4	3861
CONTRADICTION	 (  ( A man  )  ( is exercising  )  ) 	 ( There  ( is  (  ( no man  ) exercising  )  )  ) 	3.4	3897
NEUTRAL	 (  (  ( A girl  )  ( in  ( a band  )  )  )  ( is  ( playing  ( an instrument  )  )  )  ) 	 (  ( The dog  )  ( is  ( snapping  ( at  (  ( some droplets  )  ( of water  )  )  )  )  )  ) 	1	9975
ENTAILMENT	 ( A_man  ( is_rock  (  (  (  ( climbing_, pausing  ) and  ) calculating  ) the_route  )  )  ) 	 ( A_man  ( is_rock  (  (  (  ( climbing_, stopping  ) and  ) calculating  ) the_route  )  )  ) 	4.8	8633
NEUTRAL	 ( The_man  ( is  (  ( removing knives  )  ( from a_tree  )  )  )  ) 	 ( The_man  ( is  (  ( throwing knives  )  ( at a_tree  )  )  )  ) 	3.3	4067
CONTRADICTION	 ( There  ( is  ( no  ( man running_,_jumping_and_kicking_near_a_vending_machine  )  )  )  ) 	 (  ( Three  ( young men  )  )  ( are running_,_jumping_and_kicking_near_a_vending_machine  )  ) 	3.8	1469
CONTRADICTION	 (  ( A dog  )  ( is  ( eating  ( a doll  )  )  )  ) 	 ( There  ( is  (  ( no dog  )  ( playing  ( with  ( a toy  )  )  )  )  )  ) 	3.8	4187
NEUTRAL	 ( A_woman  (  (  ( is  ( parking  ( a  ( blue bicycle  )  )  )  ) and  )  ( is  ( wearing  ( lots  ( of  ( riding helmets  )  )  )  )  )  )  ) 	 ( A_woman  (  (  ( is  ( wearing  ( a  ( blue helmet  )  )  )  ) and  )  ( is  ( riding  (  ( a bicycle  )  ( in  ( a  ( parking lot  )  )  )  )  )  )  )  ) 	3.1	6568
ENTAILMENT	 ( Noodles  ( are  ( being  (  ( boiled in_water  )  ( by  ( a woman  )  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( boiling  ( noodles in_water  )  )  )  ) 	5	2704
ENTAILMENT	 (  ( A dog  )  ( is  ( licking  ( a baby  )  )  )  ) 	 (  ( The dog  )  ( is  ( licking  ( the baby  )  )  )  ) 	4.8	3501
NEUTRAL	 (  ( A  ( small white_dog  )  ) is_running_across_a_lawn  ) 	 (  ( A  ( big white_dog  )  ) is_running_across_a_lawn  ) 	3.1	8841
NEUTRAL	 (  ( The monkey  )  ( is  ( brushing  ( a bull_dog  )  )  )  ) 	 (  ( A bull_dog  )  ( is  ( brushing  ( the monkey  )  )  )  ) 	3.9	2606
NEUTRAL	 (  ( A  (  (  ( black and  ) white  ) dog  )  )  ( is  (  ( dropping a_baseball  )  ( from its_mouth  )  )  )  ) 	 (  ( A  ( brown  ( and  ( white dog  )  )  )  )  ( is  ( holding  ( a_baseball  ( in its_mouth  )  )  )  )  ) 	3.3	6119
NEUTRAL	 (  ( The man  )  (  ( is not  )  ( hiking in_the_woods  )  )  ) 	 (  ( A man  )  ( is  ( trekking in_the_woods  )  )  ) 	3.8	3181
CONTRADICTION	 ( There  ( is  (  ( no man  )  ( playing  ( a flute  )  )  )  )  ) 	 (  ( A man  )  ( is  ( playing  ( a  ( large flute  )  )  )  )  ) 	4.1	5352
ENTAILMENT	 (  (  ( The bunch  )  ( of men  )  )  ( are  ( playing_rugby  ( on  (  ( a field  )  ( full  ( of mud  )  )  )  )  )  )  ) 	 (  ( Some men  )  ( are playing_rugby  )  ) 	4.5	7582
NEUTRAL	 (  ( Two  ( small children  )  )  ( are  ( playing  ( with  (  ( a  ( toy car  )  )  ( in  ( the street  )  )  )  )  )  )  ) 	 (  ( A dog  )  (  (  ( is  ( running  ( through  ( a field  )  )  )  ) and  )  ( is  ( chasing  ( a toy  )  )  )  )  ) 	1.4	9771
CONTRADICTION	 (  ( A monkey  )  ( is teasing_a_dog_at_the_zoo  )  ) 	 ( There  ( is  (  ( no monkey  ) teasing_a_dog_at_the_zoo  )  )  ) 	2.935	4803
NEUTRAL	 (  (  ( A kid  )  ( in  ( a  ( white t-shirt  )  )  )  )  ( is  ( splashing  ( in  ( shallow water  )  )  )  )  ) 	 (  ( A boy  )  ( is  ( running  ( through  (  ( the water  )  ( at  ( the beach  )  )  )  )  )  )  ) 	3.4	7947
ENTAILMENT	 (  ( The snowboarder  )  ( is  (  ( doing  ( a flip  )  )  ( over  (  ( a mound  )  ( of snow  )  )  )  )  )  ) 	 ( Somebody  ( is  ( jumping  ( in  (  ( the air  )  ( on  ( a board  )  )  )  )  )  )  ) 	3.8	6932
ENTAILMENT	 (  ( The lady  ) is_picking_up_the_kangaroo  ) 	 (  ( The woman  ) is_picking_up_the_kangaroo  ) 	4.9	4015
NEUTRAL	 ( A_race_car_driver  (  (  ( is  ( sitting down  )  ) and  )  ( is motionless  )  )  ) 	 ( A_race_car_driver  ( is  (  (  ( standing up  ) and  )  (  ( pointing  ( his hand  )  )  ( at  ( the sky  )  )  )  )  )  ) 	3	6153
CONTRADICTION	 ( The_person  (  ( is not  ) slicing_a_clove_of_garlic_into_pieces  )  ) 	 ( The_person  ( is slicing_a_clove_of_garlic_into_pieces  )  ) 	3	2687
NEUTRAL	 (  ( The woman  ) is_erasing_the_drawing_on_the_board  ) 	 (  ( The man  ) is_erasing_the_drawing_on_the_board  ) 	3.7	4164
NEUTRAL	 (  (  ( Some  ( dangerous men  )  )  ( with knives  )  )  ( are  ( throwing  (  ( a bike  )  ( against a_tree  )  )  )  )  ) 	 (  ( A man  )  ( is  ( dangerously  (  ( throwing knives  )  ( at a_tree  )  )  )  )  ) 	3.3	2019
NEUTRAL	 (  ( A man  )  ( is  ( dancing  ( on  ( the road  )  )  )  )  ) 	 (  ( A biker  )  ( is  (  ( riding away  )  ( from  ( a fence  )  )  )  )  ) 	1.2	9880
NEUTRAL	 (  (  ( A  ( black dog  )  ) on_a_leash  )  ( is  ( walking  ( in the_water  )  )  )  ) 	 (  ( The dog  )  (  (  ( is on_a_leash  ) and  )  ( is  ( walking  ( near the_water  )  )  )  )  ) 	4.5	8855
CONTRADICTION	 (  ( A  ( large green_ball  )  )  ( is  ( hitting a_potato  )  )  ) 	 (  ( A  ( big green_ball  )  )  ( is  ( missing a_potato  )  )  ) 	3.4	2972
NEUTRAL	 (  ( A woman  )  ( is dancing  )  ) 	 (  ( The man  )  (  ( is not  ) dancing  )  ) 	3.3	3518
CONTRADICTION	 (  ( No dog  )  ( is  ( in  ( the_sand  ( that  ( is  ( blowing  ( in  ( the wind  )  )  )  )  )  )  )  )  ) 	 (  ( A dog  )  ( is  ( in  (  (  ( a  ( sandy area  )  )  ( with  ( the_sand  ( that  ( is  ( being  (  ( stirred up  )  ( into  (  (  ( the air  ) and  )  ( several plants  )  )  )  )  )  )  )  )  )  )  ( are  ( in  ( the background  )  )  )  )  )  )  ) 	4	9425
NEUTRAL	 (  ( An onion  )  ( is  ( being  (  ( sliced  ( with  ( a knife  )  )  )  ( by  ( the woman  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( preparing  ( some dish  )  )  )  ) 	1.3	2410
NEUTRAL	 (  ( Two dogs  )  ( are  ( looking  ( at  ( something  ( that  ( is  ( splashing  ( in  ( the water  )  )  )  )  )  )  )  )  )  ) 	 (  ( Some dogs  )  (  ( are not  )  ( playing  ( in  ( a stream  )  )  )  )  ) 	3.7	7820
NEUTRAL	 (  (  (  ( A_boy ,  ) who_is_wearing_a_blue_coat  ) ,  )  ( is  ( being  (  ( held  ( by his_father  )  ) under_an_umbrella  )  )  )  ) 	 (  ( A_boy under_an_umbrella  )  ( is  ( being  ( held  ( by  ( his_father who_is_wearing_a_blue_coat  )  )  )  )  )  ) 	4.3	7726
NEUTRAL	 (  (  ( A woman  )  ( in jeans  )  )  ( is  ( sitting  ( on  (  ( the saddle  )  ( of  ( a horse  )  )  )  )  )  )  ) 	 (  (  ( A person  )  ( wearing jeans  )  )  ( is  (  ( sitting happily  )  ( on  (  ( the top  )  ( of  ( a  ( horse saddle  )  )  )  )  )  )  )  ) 	4.2	6078
NEUTRAL	 (  (  ( A girl  )  ( in white  )  )  ( is dancing  )  ) 	 (  (  ( The equipment  )  ( in  ( front  ( of  ( the  ( blond  ( dancing girl  )  )  )  )  )  )  )  ( is sound  )  ) 	2.7	225
ENTAILMENT	 (  ( An  ( elder man  )  )  (  ( is_sitting_on_a_bench and  )  ( is  ( wearing  (  (  ( a  ( gray jacket  )  ) and  )  ( black pants  )  )  )  )  )  ) 	 (  ( An  ( elderly man  )  ) is_sitting_on_a_bench  ) 	4.5	9571
NEUTRAL	 ( A_man  ( is  (  ( laying down  ) a_guitar  )  )  ) 	 ( A_man  ( is  ( playing a_guitar  )  )  ) 	3.3	2996
NEUTRAL	 (  ( A boy  )  ( is  ( holding  (  ( a hose  )  (  ( next  ( to  (  (  ( a man  ) and  )  ( another boy  )  )  )  )  ( is watching  )  )  )  )  )  ) 	 (  ( A child  )  (  (  ( is  ( watching  ( someone  ( playing outdoors  )  )  )  ) and  )  ( is  (  ( spouting water  )  ( over  (  ( the rest  )  ( of  ( his family  )  )  )  )  )  )  )  ) 	3	7533
ENTAILMENT	 ( The_man  ( is  ( speaking on_the_telephone  )  )  ) 	 ( The_man  ( is  ( talking on_the_telephone  )  )  ) 	4.9	5030
ENTAILMENT	 (  (  ( A group  )  ( of people  )  )  ( are  ( standing  ( around  ( a  ( sound  ( mixing table  )  )  )  )  )  )  ) 	 (  ( Some people  )  ( is  ( looking  ( at  ( sound equipment  )  )  )  )  ) 	3.5	8727
ENTAILMENT	 (  ( A horse  )  ( is  ( being  ( ridden  ( by  ( a woman  )  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( riding  ( a horse  )  )  )  ) 	5	4983
ENTAILMENT	 (  ( A boy  )  ( is  (  ( filling  ( a pitcher  )  ) with_water  )  )  ) 	 (  ( A pitcher  )  ( is  ( being  (  ( filled with_water  )  ( by  ( a boy  )  )  )  )  )  ) 	5	3657
NEUTRAL	 ( A_dog  ( is  ( in  ( the_sand  ( that  ( is  ( blowing  ( in the_air  )  )  )  )  )  )  )  ) 	 ( A_dog  ( is  ( in  (  (  ( a  ( sandy area  )  )  ( with  ( the_sand  ( that  ( is  ( being  (  ( stirred up  )  ( into  (  ( the_air and  )  ( several plants  )  )  )  )  )  )  )  )  )  )  ( are  ( in  ( the background  )  )  )  )  )  )  ) 	4.1	9424
NEUTRAL	 ( A_white_dog  ( is  ( standing on_fallen_leaves  )  )  ) 	 ( A_white_dog  ( is  ( lying on_fallen_leaves  )  )  ) 	3.8	7007
ENTAILMENT	 (  ( A person  )  ( is  ( playing  ( a guitar_and_singing  )  )  )  ) 	 (  ( One person  )  ( is  ( playing  ( the guitar_and_singing  )  )  )  ) 	4.9	1964
